year,country,n_researchers,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
1998,AD,3,0,0,0,0.0,0.0,0.0
1999,AD,1,1,0,1,1.0,0.0,1.0
2001,AD,3,1,1,0,0.3333333333333333,0.3333333333333333,0.0
2002,AD,8,2,1,1,0.25,0.125,0.125
2003,AD,5,1,0,1,0.2,0.0,0.2
2004,AD,7,2,2,0,0.2857142857142857,0.2857142857142857,0.0
2005,AD,11,2,0,2,0.18181818181818182,0.0,0.18181818181818182
2006,AD,9,3,2,1,0.3333333333333333,0.2222222222222222,0.1111111111111111
2007,AD,10,0,1,-1,0.0,0.1,-0.1
2008,AD,3,0,2,-2,0.0,0.6666666666666666,-0.6666666666666666
2009,AD,14,2,0,2,0.14285714285714285,0.0,0.14285714285714285
2010,AD,8,3,2,1,0.375,0.25,0.125
2011,AD,4,2,2,0,0.5,0.5,0.0
2012,AD,18,3,4,-1,0.16666666666666666,0.2222222222222222,-0.05555555555555555
2013,AD,21,6,4,2,0.2857142857142857,0.19047619047619047,0.09523809523809523
2014,AD,27,8,6,2,0.2962962962962963,0.2222222222222222,0.07407407407407407
2015,AD,17,1,3,-2,0.058823529411764705,0.17647058823529413,-0.11764705882352941
2016,AD,17,6,6,0,0.35294117647058826,0.35294117647058826,0.0
2017,AD,20,4,3,1,0.2,0.15,0.05
2018,AD,31,10,1,9,0.3225806451612903,0.03225806451612903,0.2903225806451613
2019,AD,21,2,9,-7,0.09523809523809523,0.42857142857142855,-0.3333333333333333
2020,AD,41,8,6,2,0.1951219512195122,0.14634146341463414,0.04878048780487805
2021,AD,45,11,2,9,0.24444444444444444,0.044444444444444446,0.2
2022,AD,35,9,9,0,0.2571428571428571,0.2571428571428571,0.0
2023,AD,37,11,11,0,0.2972972972972973,0.2972972972972973,0.0
2024,AD,34,12,5,7,0.35294117647058826,0.14705882352941177,0.20588235294117646
2025,AD,48,10,14,-4,0.20833333333333334,0.2916666666666667,-0.08333333333333333
