year,country,n_researchers_padded,inmigration,outmigration,netmigration,inmigration_rate,outmigration_rate,netmigration_rate
1998,AD,3,0,0,0,0.0,0.0,0.0
1999,AD,3,1,0,1,0.3333333333333333,0.0,0.3333333333333333
2000,AD,10,0,1,-1,0.0,0.1,-0.1
2001,AD,15,1,1,0,0.06666666666666667,0.06666666666666667,0.0
2002,AD,15,2,1,1,0.13333333333333333,0.06666666666666667,0.06666666666666667
2003,AD,19,1,0,1,0.05263157894736842,0.0,0.05263157894736842
2004,AD,25,2,2,0,0.08,0.08,0.0
2005,AD,29,2,0,2,0.06896551724137931,0.0,0.06896551724137931
2006,AD,22,3,2,1,0.13636363636363635,0.09090909090909091,0.045454545454545456
2007,AD,25,0,1,-1,0.0,0.04,-0.04
2008,AD,22,0,2,-2,0.0,0.09090909090909091,-0.09090909090909091
2009,AD,24,2,0,2,0.08333333333333333,0.0,0.08333333333333333
2010,AD,26,3,2,1,0.11538461538461539,0.07692307692307693,0.038461538461538464
2011,AD,34,2,2,0,0.058823529411764705,0.058823529411764705,0.0
2012,AD,49,3,4,-1,0.061224489795918366,0.08163265306122448,-0.02040816326530612
2013,AD,47,6,4,2,0.1276595744680851,0.0851063829787234,0.0425531914893617
2014,AD,47,8,6,2,0.1702127659574468,0.1276595744680851,0.0425531914893617
2015,AD,43,1,3,-2,0.023255813953488372,0.06976744186046512,-0.046511627906976744
2016,AD,49,6,6,0,0.12244897959183673,0.12244897959183673,0.0
2017,AD,56,4,3,1,0.07142857142857142,0.05357142857142857,0.017857142857142856
2018,AD,71,10,1,9,0.14084507042253522,0.014084507042253521,0.1267605633802817
2019,AD,70,2,9,-7,0.02857142857142857,0.12857142857142856,-0.1
2020,AD,78,8,6,2,0.10256410256410256,0.07692307692307693,0.02564102564102564
2021,AD,83,11,2,9,0.13253012048192772,0.024096385542168676,0.10843373493975904
2022,AD,75,9,9,0,0.12,0.12,0.0
2023,AD,87,11,11,0,0.12643678160919541,0.12643678160919541,0.0
2024,AD,70,12,5,7,0.17142857142857143,0.07142857142857142,0.1
2025,AD,48,10,14,-4,0.20833333333333334,0.2916666666666667,-0.08333333333333333
1998,AE,917,0,0,0,0.0,0.0,0.0
1999,AE,945,39,23,16,0.04126984126984127,0.02433862433862434,0.016931216931216932
2000,AE,1060,58,36,22,0.05471698113207547,0.033962264150943396,0.020754716981132074
2001,AE,1216,87,45,42,0.07154605263157894,0.03700657894736842,0.03453947368421053
2002,AE,1317,84,85,-1,0.06378132118451026,0.06454062262718299,-0.0007593014426727411
